Product	Product information				One-to-one comparison					Source			Individual analyte levels reported																			Additional information		Supporting fields for one-to-one comparison			DRI	
	Category	Country	Reported packaging type	Sample size (n)	Summarized findings (ng/serving)	Compounds tested	Phthalates (ng/serving)	Phthalate substitutes (ng/serving)	Bisphenols (ng/serving)	Author	Title	Published	Reporting format	Mean DBP (ng/g)	Mean BBP (ng/g)	Mean DEHP (ng/g)	Mean DINP (ng/g)	Mean DIDP (ng/g)	Mean DMP (ng/g)	Mean DEP (ng/g)	Mean DIBP (ng/g)	Mean DNHP (ng/g)	Mean DCHP (ng/g)	Mean DNOP (ng/g)	Mean DIDA (ng/g)	Mean DEHA (ng/g)	Mean DINCH (ng/g)	Mean DEHT (ng/g)	Mean BPA (ng/g)	Mean BPS (ng/g)	Mean BPF (ng/g)	Serving size (g)	Notes	Phthalates (n)	Phthalate substitutes (n)	Bisphenols (n)	Created	Reviewed
Rainbow trout	Seafood	Canada	Non-packaged	4	11,162 ng/serving for 4 phthalates 15,863 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	11,162	15,863	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	4.48±6.35	N/A	0	0.83±0.96	N/A	N/A	69.1±21.1	N/A	N/A	N/A	N/A	0	105±201	0.75±1.21	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Salmon	Seafood	Canada	Packaged	4	6,279 ng/serving for 4 phthalates 87,785 ng/serving for 3 phthalate substitutes 3,330 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	6,279	87,785	3,330	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	9.46±8.80	N/A	0	14.2±20.2	N/A	N/A	18.2±36.3	N/A	N/A	N/A	N/A	0	581±261	4.23±5.33	N/A	0	22.2±31.2	N/A	150		4	3	2	Richel	Yaroslav
Salmon	Seafood	Canada	Non-packaged	4	1,821 ng/serving for 4 phthalates 1,844 ng/serving for 3 phthalate substitutes 1,127 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	1,821	1,844	1,127	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	2.85±3.24	N/A	0	2.74±4.56	N/A	N/A	6.55±12.9	N/A	N/A	N/A	N/A	0.23±0.37	9.0±2.5	3.06±3.72	N/A	0	7.51±14.7	N/A	150		4	3	2	Richel	Yaroslav
Sole	Seafood	Canada	Packaged	4	6,092 ng/serving for 4 phthalates 61,350 ng/serving for 3 phthalate substitutes 4,065 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	6,092	61,350	4,065	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	2.32±1.42	N/A	3.93±2.06	0.36±0.30	N/A	N/A	34.0±40.8	N/A	N/A	N/A	N/A	0	409±139	0	N/A	0	27.1±27.8	N/A	150		4	3	2	Richel	Yaroslav
Sole	Seafood	Canada	Non-packaged	4	8,808 ng/serving for 4 phthalates 9,720 ng/serving for 3 phthalate substitutes 294 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	8,808	9,720	294	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	2.96±2.42	N/A	7.36±7.78	20.5±36.2	N/A	N/A	27.9±35.6	N/A	N/A	N/A	N/A	0	64.8±105	0	N/A	0	1.96±3.63	N/A	150		4	3	2	Richel	Yaroslav
Tilapia	Seafood	Canada	Packaged	4	10,184 ng/serving for 4 phthalates 35,658 ng/serving for 3 phthalate substitutes 4,320 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	10,184	35,658	4,320	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	6.17±9.44	N/A	1.62±1.43	23.4±19.2	N/A	N/A	36.7±27.8	N/A	N/A	N/A	N/A	0	235±178	2.72±5.14	N/A	0	28.8±33.7	N/A	150		4	3	2	Richel	Yaroslav
Tilapia	Seafood	Canada	Non-packaged	4	10,850 ng/serving for 4 phthalates 4,119 ng/serving for 3 phthalate substitutes 1,251 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	10,850	4,119	1,251	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	2.32±1.37	N/A	3.71±4.75	39.7±44.1	N/A	N/A	26.6±30.9	N/A	N/A	N/A	N/A	0.27±0.45	26.3±21.7	0.89±1.48	N/A	0	8.34±16.4	N/A	150		4	3	2	Richel	Yaroslav
Arugula	Fruits and vegetables	Canada	Packaged	4	420 ng/serving for 4 phthalates 51 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	420	51	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	4.50±4.61	N/A	0.83±0.93	0	N/A	N/A	8.66±7.14	N/A	N/A	N/A	N/A	0.33±0.51	0.51±0.92	0.85±1.40	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Arugula	Fruits and vegetables	Canada	Non-packaged	3	577 ng/serving for 4 phthalates 107 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	577	107	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	4.99±2.48	N/A	0.24±0.32	0	N/A	N/A	14.0±12.3	N/A	N/A	N/A	N/A	0	0	3.58±5.93	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Romaine lettuce	Fruits and vegetables	Canada	Packaged	4	410 ng/serving for 4 phthalates 78 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	410	78	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	2.33±1.13	N/A	0.63±0.82	0	N/A	N/A	10.7±11.6	N/A	N/A	N/A	N/A	0	0	2.60±4.99	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Romaine lettuce	Fruits and vegetables	Canada	Non-packaged	4	500 ng/serving for 4 phthalates 162 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	500	162	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.01±1.81	N/A	0.40±0.52	0.66±0.92	N/A	N/A	12.6±14.4	N/A	N/A	N/A	N/A	0	2.55±3.63	2.86±3.22	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Spinach	Fruits and vegetables	Canada	Packaged	4	464 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	464	0	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	5.49±4.35	N/A	0.14±0.21	0.11±0.14	N/A	N/A	9.74±11.2	N/A	N/A	N/A	N/A	0	0	0	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Spinach	Fruits and vegetables	Canada	Non-packaged	4	200 ng/serving for 4 phthalates 50 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	200	50	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	4.95±3.38	N/A	0.36±0.73	0.45±0.50	N/A	N/A	0.89±1.63	N/A	N/A	N/A	N/A	0.31±0.51	1.37±1.56	0	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Watercress	Fruits and vegetables	Canada	Packaged	3	463 ng/serving for 4 phthalates 23 ng/serving for 3 phthalate substitutes 5 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	463	23	5	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.29±1.65	N/A	0.74±0.72	0.39±0.62	N/A	N/A	11.0±14.4	N/A	N/A	N/A	N/A	0.41±0.58	0.36±0.56	0	N/A	0	0.17±0.12	N/A	30		4	3	2	Richel	Yaroslav
Watercress	Fruits and vegetables	Canada	Non-packaged	3	338 ng/serving for 4 phthalates 47 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	338	47	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.02±2.40	N/A	0.71±0.73	1.10±1.21	N/A	N/A	6.43±11.0	N/A	N/A	N/A	N/A	0.32±0.42	1.26±1.13	0	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Whole wheat bread (outside layer)	Grain	Canada	Packaged	4	5,505 ng/serving for 4 phthalates 470 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	5,505	470	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	28.1±27.8	N/A	0	57.8±60.8	N/A	N/A	97.6±94.5	N/A	N/A	N/A	N/A	0	7.35±6.33	8.32±9.98	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Whole wheat bread (core)	Grain	Canada	Packaged	4	3,368 ng/serving for 4 phthalates 237 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	3,368	237	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	9.13±16.5	N/A	1.62±1.84	47.9±67.1	N/A	N/A	53.6±54.2	N/A	N/A	N/A	N/A	0	2.70±5.39	5.21±10.2	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
White bread (outside layer)	Grain	Canada	Packaged	4	2,749 ng/serving for 4 phthalates 212 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	2,749	212	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	9.09±10.3	N/A	1.54±2.11	45.8±29.0	N/A	N/A	35.2±51.1	N/A	N/A	N/A	N/A	1.38±2.75	0	5.67±6.67	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
White bread (core)	Grain	Canada	Packaged	4	1,605 ng/serving for 4 phthalates 321 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	1,605	321	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	13.6±22.1	N/A	0	28.0±21.2	N/A	N/A	11.9±23.7	N/A	N/A	N/A	N/A	0	6.03±7.16	4.67±5.53	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Non-salted butter (outside layer)	Dairy	Canada	Packaged	4	2,778 ng/serving for 4 phthalates 12,977 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	2,778	12,977	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	27.4±43.0	N/A	7.33±14.6	4.49±8.90	N/A	N/A	146±175	N/A	N/A	N/A	N/A	32.4±49.5	39.7±47.7	793±929	N/A	0	0	N/A	15		4	3	2	Richel	Yaroslav
Non-salted butter (core)	Dairy	Canada	Packaged	4	2,433 ng/serving for 4 phthalates 17,904 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	2,433	17,904	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	6.71±13.3	N/A	1.93±3.79	1.53±2.99	N/A	N/A	152±120	N/A	N/A	N/A	N/A	22.7±30.5	10.9±15.8	1160±1390	N/A	0	0	N/A	15		4	3	2	Richel	Yaroslav
Salted butter (outside layer)	Dairy	Canada	Packaged	4	1,476 ng/serving for 4 phthalates 16,050 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	1,476	16,050	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	10.3±18.8	N/A	17.1±32.0	6.01±7.09	N/A	N/A	65.0±81.4	N/A	N/A	N/A	N/A	50.5±40.9	99.5±121	920±694	N/A	0	0	N/A	15		4	3	2	Richel	Yaroslav
Salted butter (core)	Dairy	Canada	Packaged	4	1,714 ng/serving for 4 phthalates 15,108 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	1,714	15,108	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.08±6.08	N/A	16.1±32.1	0	N/A	N/A	95.1±139	N/A	N/A	N/A	N/A	4.12±4.71	22.1±30.4	981±877	N/A	0	0	N/A	15		4	3	2	Richel	Yaroslav
Chicken breast	Meat and poultry	Canada	Packaged	4	5,644 ng/serving for 4 phthalates 25,565 ng/serving for 3 phthalate substitutes 1,870 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	5,644	25,565	1,870	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	2.73±4.64	N/A	0.81±1.55	16.2±14.1	N/A	N/A	36.7±24.5	N/A	N/A	N/A	N/A	0	254±80.2	1.65±1.85	N/A	0	18.7±34.3	N/A	100		4	3	2	Richel	Yaroslav
Canned tuna in oil	Seafood	Canada	Canned	4	5,411 ng/serving for 4 phthalates 718 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	5,411	718	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.76±4.55	N/A	10.3±11.8	29.8±13.5	N/A	N/A	19.8±39.5	N/A	N/A	N/A	N/A	0	0	8.45±9.74	N/A	0	0	N/A	85		4	3	2	Richel	Yaroslav
Canned tuna in water	Seafood	Canada	Canned	4	2,177 ng/serving for 4 phthalates 258 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	2,177	258	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.62±2.72	N/A	4.57±3.31	10.6±2.61	N/A	N/A	6.82±13.5	N/A	N/A	N/A	N/A	0.55±0.93	2.49±3.49	0	N/A	0	0	N/A	85		4	3	2	Richel	Yaroslav
Anchovy	Seafood	South Africa	Packaged	1	3,869 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	3,869	0	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	19.8	N/A	3.86	22.4	N/A	N/A	82.9	N/A	N/A	N/A	N/A	0	0	0	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Bass	Seafood	South Africa	Non-packaged	1	71 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	71	0	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	0.47	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Bream	Seafood	South Africa	Packaged	1	192 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	192	0	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	1.28	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Bream	Seafood	South Africa	Non-packaged	1	3,840 ng/serving for 4 phthalates 2,625 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	3,840	2,625	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	0	N/A	N/A	25.6	N/A	N/A	N/A	N/A	0	17.5	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Catfish	Seafood	South Africa	Non-packaged	1	1,110 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	1,110	0	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	0	N/A	N/A	7.4	N/A	N/A	N/A	N/A	0	0	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Haddock	Seafood	South Africa	Packaged	1	0 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	0	0	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	0	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
